month,categoryname,total_sales,growth_rate
2013-07-01 00:00:00-05:00,Bebidas,3438.0,
2013-08-01 00:00:00-05:00,Bebidas,5036.4,0.4649214659685863
2013-09-01 00:00:00-05:00,Bebidas,5131.6,0.01890239059645804
2013-10-01 00:00:00-05:00,Bebidas,8793.2,0.7135396367604645
2013-11-01 00:00:00-06:00,Bebidas,19712.0,1.241732247645908
2013-12-01 00:00:00-06:00,Bebidas,11768.0,-0.4030032467532467
2014-01-01 00:00:00-06:00,Bebidas,24224.4,1.0584976206662136
2014-02-01 00:00:00-06:00,Bebidas,3090.4,-0.8724261488416638
2014-03-01 00:00:00-06:00,Bebidas,11027.2,2.568211234791613
2014-04-01 00:00:00-06:00,Bebidas,7377.5,-0.33097250435287295
2014-05-01 00:00:00-05:00,Bebidas,15654.0,1.1218569976279227
2014-06-01 00:00:00-05:00,Bebidas,3602.0,-0.7698990673310336
2014-07-01 00:00:00-05:00,Bebidas,8343.5,1.31635202665186
2014-08-01 00:00:00-05:00,Bebidas,6154.0,-0.2624198477857015
2014-09-01 00:00:00-05:00,Bebidas,6198.75,0.007271693207669738
2014-10-01 00:00:00-05:00,Bebidas,9043.0,0.4588425085702763
2014-11-01 00:00:00-06:00,Bebidas,4034.0,-0.5539091009620701
2014-12-01 00:00:00-06:00,Bebidas,11675.25,1.8942117005453643
2015-01-01 00:00:00-06:00,Bebidas,28558.0,1.446028992955183
2015-02-01 00:00:00-06:00,Bebidas,35869.5,0.2560228307304433
2015-03-01 00:00:00-06:00,Bebidas,28729.25,-0.1990618770822008
2015-04-01 00:00:00-06:00,Bebidas,24470.0,-0.1482548273971649
2015-05-01 00:00:00-05:00,Bebidas,4597.0,-0.8121373109930528
2013-07-01 00:00:00-05:00,Comida,2177.8,
2013-08-01 00:00:00-05:00,Comida,2333.8,0.07163192212324354
2013-09-01 00:00:00-05:00,Comida,1864.0,-0.20130259662353245
2013-10-01 00:00:00-05:00,Comida,4577.2,1.4555793991416306
2013-11-01 00:00:00-06:00,Comida,6918.3,0.5114698942584988
2013-12-01 00:00:00-06:00,Comida,1587.2,-0.7705794776173337
2014-01-01 00:00:00-06:00,Comida,5698.8,2.5904737903225805
2014-02-01 00:00:00-06:00,Comida,6618.4,0.16136730539762745
2014-03-01 00:00:00-06:00,Comida,1905.9,-0.7120300979088601
2014-04-01 00:00:00-06:00,Comida,5903.0,2.0972244084159715
2014-05-01 00:00:00-05:00,Comida,5728.8,-0.029510418431306085
2014-06-01 00:00:00-05:00,Comida,1886.85,-0.6706378299120235
2014-07-01 00:00:00-05:00,Comida,6798.7,2.603201102366378
2014-08-01 00:00:00-05:00,Comida,4501.8,-0.3378439995881565
2014-09-01 00:00:00-05:00,Comida,3748.9,-0.1672442134257408
2014-10-01 00:00:00-05:00,Comida,6780.45,0.8086505374909974
2014-11-01 00:00:00-06:00,Comida,3854.8,-0.4314831611471215
2014-12-01 00:00:00-06:00,Comida,6252.6,0.6220296772854623
2015-01-01 00:00:00-06:00,Comida,5000.45,-0.2002606915523143
2015-02-01 00:00:00-06:00,Comida,6727.2,0.3453189212970833
2015-03-01 00:00:00-06:00,Comida,11018.3,0.6378731121417529
2015-04-01 00:00:00-06:00,Comida,10737.5,-0.02548487516223008
2015-05-01 00:00:00-05:00,Comida,1074.0,-0.899976717112922
2013-07-01 00:00:00-05:00,Electrónicos,6261.0,
2013-08-01 00:00:00-05:00,Electrónicos,5224.8,-0.16550071873502636
2013-09-01 00:00:00-05:00,Electrónicos,6450.5,0.23459271168274376
2013-10-01 00:00:00-05:00,Electrónicos,3797.1,-0.4113479575226727
