country,avg_cost,avg_delivery_days
Argentina,37.41125,9.285714285714286
Austria,184.7875,8.657894736842104
Belgium,67.37578947368422,9.157894736842104
Brazil,58.797469879518076,8.135802469135802
Canada,73.26966666666667,5.931034482758621
Denmark,77.5661111111111,7.411764705882353
Finland,41.40409090909091,5.590909090909091
France,55.03688311688312,8.44
Germany,92.48590163934426,8.008333333333333
Ireland,145.01263157894735,11.0
Italy,30.872857142857146,7.888888888888889
Mexico,40.09928571428571,7.814814814814815
Norway,45.916666666666664,7.0
Poland,25.10571428571429,8.0
Portugal,49.50230769230769,8.692307692307692
Spain,37.47347826086956,9.217391304347826
Sweden,87.5027027027027,10.216216216216216
Switzerland,76.02944444444444,9.941176470588236
Uk,52.754821428571425,8.196428571428571
Usa,112.8794262295082,9.554621848739496
Venezuela,59.460434782608694,8.465116279069768
